Observer,HM4.Order,HM4.Family,HM4.Latin.name,HM4.Common.name,HM4.Subspecies,Site,State.Province,County.District,Country,Captivity.details,Song_source,Catalog_number,Song_Locality,Signal_Type,No_notes_in_call_bout.song,No_of_Note_Types,IntraIndiv_variation,Single.Note.Number.Of.Notes,Single.Note.Duration.Of.Songs,Single.Note.Song.Pace,Note count the same as number of notes in song?,Edited by,Remarks,Note_Min_Freq_Average,Note_Min_Freq_Variance,Note.Max.Freq.Average,Note.Max.Freq.Variance,Note_Length_Average,Note_Length_Variance,Note_Bandwidth_Average,Note.Bandwidth.Variance,Note_Peak_Freq_Average,Note.Peak.Freq.Variance,Song_Peak_Freq,Song_Min_Freq,Song_Max_Freq,Duration.1st.note,Max.Freq.1st.note,Song.Bandwidth,Note.Count,Song.Duration,Duration.middle.note,Max.freq.middle.note,Duration.Final.Note,Max.Freq.Final.Note,Duration.longest.note,Note_Slope_Average,Note.Slope.Variance,Max.Note.Slope,Pause.Length.Average,Pause.Length.Variance,Note.Slope.first.note,Note.Slope.middle.note,Note.Slope.final.note,Duration.longest.pause,Pace1,Pace2,Pace3,Pace_Change_1,Pace_Change_2,Note_Rate,Freq_Change_1,Freq_Change_2,Dur_change_1,Dur_Change_2,Note_Slope_Ch1,Note_Slope_Ch2,Note_5._Freq,Note_95._Freq,Song_Min_Freq_5,Song_Max_Freq_95,Song.Freq.5..Variance,Song.Freq.95..Variance,Note_Bandwidth_90,Note.Bandwidth.90..Variance,Song_Bandwidth2,Note_Slope_2_Average,Note.Slope.2.Variance,Note_Slope_2_Max,X95..Freq1,X95..Freq2,X95..Freq3,X90..Bandwidth1,X90..Bandwidth2,X90..Bandwidth3,Peak.Freq1,Peak.Freq2,Peak.Freq3,Note.Slope1,Note.Slope2,Note.Slope3,Max.Power1,Max.Power2,Max.Power3
YZ,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,domestica,,,,,captive bird,XC,XC127375,"Warszawa (near Warsaw), Warszawa, Masovian Voivodeship, Poland",Song,1,1,0,8,5.87,1.36286201,Y,,,1200.70,NA,2665.80,NA,0.20,NA,1465.10,NA,1894.90,NA,1894.90,1200.70,2665.80,0.20,2665.80,1465.10,1.00,0.20,0.20,2665.80,0.20,2665.80,0.20,7475.00,NA,7475.00,NA,NA,7475.00,7475.00,7475.00,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,NA,NA,NA,1378.10,2454.80,1378.10,2454.80,NA,NA,1076.70,NA,1076.70,5493.37,NA,5493.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC352114,"Rio La Tovara, Matanchén, San Blas, Nayarit",Call,5,1,0,,,,Y,JT,Resampled for fewer notes,1306.52,8111.25,1941.24,3515.51,0.27,0.01,634.76,2033.29,1593.76,4393.59,1593.80,1232.50,2033.70,0.27,1895.00,801.20,5.00,1.61,0.32,1910.40,0.12,2033.70,0.34,2691.32,1071592.39,4740.17,0.07,0.00,2426.74,2051.08,4740.17,0.10,3.23,2.77,8.62,0.86,3.11,3.10,1.01,1.06,1.18,0.36,0.85,2.31,1415.62,1790.62,1359.40,1875.00,4746.66,2986.97,375.00,2639.53,515.60,1585.13,385728.31,2804.27,1734.40,1804.65,1875.00,351.55,421.90,328.10,1593.75,1570.35,1640.60,1280.26,1280.43,2804.27,95.70,96.85,85.00
CW,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC97530,"Napo Wildlife Center, Orellana",Call,5,1,0,,,,Y,JT,Resampled for fewer notes,1446.36,414.40,1997.86,476.90,0.17,0.00,551.46,1319.51,1649.98,351.94,1640.60,1416.30,2030.40,0.10,2005.40,614.10,5.00,1.06,0.19,2030.40,0.17,1967.80,0.20,3572.09,1481466.01,5950.51,0.06,0.00,5950.51,2971.65,2931.58,0.06,6.12,4.45,5.81,0.73,1.31,4.73,1.01,0.97,1.96,0.88,0.50,0.99,1546.90,1837.48,1546.90,1875.00,0.00,351.94,290.58,351.94,328.10,1858.54,273005.41,2840.40,1828.10,1828.10,1875.00,281.20,281.20,328.10,1640.60,1640.60,1687.50,2252.15,1434.84,1918.71,99.85,99.40,94.60
CW,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC139949,"Orlando Wetlands, Christmas, Orange County, Florida",Call,6,1,0,,,,Y,JT,Resampled for fewer notes,1171.90,1715.95,1706.67,963.44,0.21,0.00,534.75,2811.55,1507.82,2505.11,1546.90,1128.00,1754.70,0.25,1667.00,626.70,6.00,1.53,0.23,1717.10,0.12,1754.70,0.25,2742.38,1287642.33,5266.39,0.05,0.00,2046.12,2278.79,5266.39,0.06,3.94,3.93,4.80,1.00,1.22,3.93,1.03,1.02,0.94,0.52,1.11,2.31,1335.93,1640.62,1265.60,1687.50,2013.97,731.64,304.68,4211.23,421.90,1607.74,778894.69,3545.38,1617.20,1640.60,1664.05,234.40,304.65,375.00,1546.90,1523.45,1453.10,1023.48,1337.77,2461.97,95.70,95.65,87.25
CW,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC257259,Manabí: La Segua marsh (Chone lakes),Call,5,1,N/A,,,,Y,JT,Resampled for fewer notes,1218.78,663.33,1667.34,371.88,0.23,0.00,448.56,703.51,1464.30,0.00,1464.30,1178.70,1701.60,0.14,1654.40,522.90,5.00,1.34,0.23,1701.60,0.26,1648.40,0.26,2091.43,263924.61,3087.68,0.05,0.00,3087.68,2082.91,1785.93,0.06,4.76,3.69,3.80,0.77,1.03,3.73,1.03,0.97,1.70,1.12,0.67,0.86,1300.62,1584.88,1248.90,1593.50,1040.26,297.22,284.26,445.83,344.60,1342.73,179269.27,2184.78,1593.50,1593.50,1550.40,279.95,279.95,301.50,1464.30,1464.30,1464.30,1628.49,1155.14,1146.39,94.55,94.95,93.90
YZ,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC108819,"Emeralda Marsh Conservation Area, Lake Co., Florida",Call,4,1,0,,,,Y,,,1290.90,6985.44,2627.60,113803.20,0.16,0.00,1336.68,65208.83,2156.23,4394.53,2250.00,1232.10,3181.10,0.18,3181.10,1949.00,4.00,0.79,0.16,2397.00,0.16,2613.70,0.18,8164.52,1103234.33,9816.29,0.05,0.00,9816.29,7372.78,8320.99,0.06,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5.04,0.75,1.09,0.89,1.03,0.75,1.13,1488.25,2449.23,1406.20,2859.40,9203.25,67437.23,960.95,37905.76,1453.20,5872.93,806480.16,6847.19,2859.40,2250.00,2343.75,1218.80,750.00,937.50,2250.00,2156.20,2109.35,6847.19,4746.84,5948.85,91.30,88.50,86.25
YZ,Pelecaniformes,Anhingidae,Anhinga anhinga,Anhinga,leucogaster,Palm City,Florida,Martin County,United States,,XC,XC426244,"Naples, Collier County, Florida",Call,4,1,0,,,,Y,,,1529.35,768.08,2741.15,25014.13,0.28,0.01,1211.80,29127.86,1792.93,412.43,1781.20,1501.60,3014.40,0.18,3014.40,1512.80,4.00,1.34,0.16,2650.10,0.38,2634.20,0.41,5188.85,5841479.11,8453.93,0.07,0.00,8453.93,6568.29,2957.18,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.99,0.88,0.99,0.92,2.34,0.78,0.45,1664.05,2414.08,1640.60,2671.90,549.90,24721.00,749.98,27459.96,1031.30,3319.98,3242823.27,5793.26,2671.90,2390.60,2296.90,1031.20,703.10,632.80,1781.20,1828.10,1781.20,5793.26,4287.20,1599.73,95.30,97.80,97.80
CW,Anseriformes,Anseranatidae,Anseranas semipalmata,Magpie Goose,monotypic,,,,Unknown locality,,XC,XC269914,"Cairns, Queensland",Call,2,2,0,,,,Y,JT,Resampled as note count did not match,1579.25,627.50,1836.20,353.44,0.06,0.00,256.95,1922.82,1722.70,0.00,1722.70,1554.20,1855.00,0.05,1817.40,300.80,2.00,0.26,0.05,1817.40,0.07,1855.00,0.07,4070.65,2489.67,4120.55,0.13,0.00,4020.75,4020.75,4120.55,0.13,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7.78,1.00,1.02,1.00,1.38,1.00,1.02,1658.05,1765.70,1636.50,1765.70,464.40,0.00,107.65,464.40,129.20,1697.20,5280.54,1769.86,1765.70,1765.70,#DIV/0!,86.10,129.20,#DIV/0!,1722.70,1722.70,#DIV/0!,1624.53,1769.86,#DIV/0!,97.50,92.50,#DIV/0!
YZ,Anseriformes,Anseranatidae,Anseranas semipalmata,Magpie Goose,monotypic,,,,Unknown locality,,XC,XC434369,"Artemis Station, Queensland, Australia",Call,1,1,0,10,6.203,1.612123166,Y,,,156.80,NA,2845.00,NA,0.16,NA,2688.20,NA,1359.40,NA,1359.40,156.80,2845.00,0.16,2845.00,2688.20,1.00,0.16,0.16,2845.00,0.16,2845.00,0.16,16391.46,NA,16391.46,NA,NA,16391.46,16391.46,16391.46,NA,NA,NA,NA,NA,NA,6.10,NA,NA,NA,NA,NA,NA,234.40,1687.50,234.40,1687.50,NA,NA,1453.10,NA,1453.10,8860.37,NA,8860.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YZ,Anseriformes,Anseranatidae,Anseranas semipalmata,Magpie Goose,monotypic,,,,Unknown locality,,XC,XC269996,"Chong Swamp, Oyala-Thumutang NP, Queensland, Australia",Call,3,2,0,,,,Y,,,556.30,1201.89,1713.73,5609.71,0.08,0.00,1157.43,1700.41,1004.90,257618.42,646.00,526.40,1814.60,0.06,1635.30,1288.20,3.00,0.41,0.07,1814.60,0.10,1691.30,0.10,15788.04,8616773.71,18178.69,0.09,0.00,18178.69,17531.88,11653.54,0.10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7.41,1.11,0.93,1.13,1.43,0.96,0.66,631.63,1636.53,602.90,1765.70,1651.21,8651.62,1004.90,2885.79,1162.80,13714.06,6879235.66,15604.35,1550.40,1765.70,1593.50,947.50,1076.70,990.50,646.00,1722.70,646.00,15532.79,15604.35,10005.05,87.60,82.50,91.80
CW,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC346598,Namibgrens guest farm,Song,3,1,0,,,,Y,,,4362.87,10705.82,8549.43,934.73,0.31,0.00,4186.50,11248.51,6259.00,242777.65,5641.70,4268.50,8589.10,0.30,8544.50,4320.60,3.00,1.10,0.31,8589.10,0.32,8514.70,0.32,13433.40,20432.23,13617.52,0.08,0.00,13413.62,13617.52,13269.06,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.72,1.01,0.99,1.04,1.02,1.02,0.97,4694.23,7120.33,4522.00,7235.20,34612.20,17725.60,2426.07,30085.74,2713.20,7784.69,274944.66,8503.50,7235.20,7192.10,6933.70,2282.50,2670.10,2325.60,6287.70,6847.60,5641.70,7583.06,8503.50,7267.50,82.00,82.50,85.40
CW,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC248467,"Grahamstown, Western District, Eastern Cape",Song,8,1,N/A,,,,Y,,,4192.09,6657.03,8129.11,23655.28,0.28,0.00,3937.01,19412.88,5787.04,72315.17,5727.80,3989.40,8472.80,0.27,7922.90,4483.40,8.00,2.90,0.28,8176.70,0.29,8078.00,0.29,13834.64,375646.94,14884.32,0.09,0.00,14514.76,13898.58,13509.06,0.11,2.87,2.96,2.99,1.03,1.01,2.76,1.03,0.99,1.04,1.02,0.96,0.97,4726.53,7003.69,4478.90,7622.80,20754.01,63500.95,2277.16,22458.41,3143.90,8003.90,353761.37,9003.48,7163.40,6991.13,6782.95,2426.10,2253.83,2088.75,5971.87,5656.03,5706.30,8644.27,7872.39,7240.62,98.63,112.57,111.00
CW,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC377633,"Langebaan Country Estate, Western Cape",Song,7,1,N/A,,,,Y,,,4281.76,5910.25,7512.39,8608.93,0.26,0.00,3230.60,17296.13,6033.49,33722.07,6046.90,4162.70,7588.30,0.23,7496.50,3425.60,7.00,2.49,0.26,7575.20,0.28,7588.30,0.28,12483.54,314177.96,13296.09,0.11,0.00,13296.09,12971.60,12411.59,0.13,3.36,3.16,2.86,0.94,0.90,2.81,1.01,1.00,1.12,1.07,0.98,0.96,4694.20,6629.47,4593.80,6796.90,7802.82,5560.81,1935.29,15517.59,2203.10,7472.13,177918.29,8283.13,6679.70,6609.35,6609.40,1875.00,1945.30,1968.80,5789.05,6187.50,6093.77,7634.82,7698.18,7212.96,80.30,88.60,91.63
YZ,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC516093,"Polokwane Game Reserve, Polokwane, Limpopo, South Africa",Song,6,1,0,,,,Y,,,4005.48,3726.52,7792.02,38411.77,0.27,0.00,3786.53,46832.40,5625.00,176514.45,5203.10,3944.20,8016.20,0.24,8016.20,4072.00,6.00,2.31,0.27,7931.00,0.27,7760.40,0.27,14314.09,1136349.93,16047.95,0.14,0.00,16047.95,14579.04,14292.88,0.19,3.06,2.97,3.00,0.97,1.01,2.60,0.99,0.98,1.11,0.98,0.91,0.98,4484.37,6914.08,4218.80,7218.80,41496.62,37169.43,2429.67,24474.38,3000.00,9191.35,667819.54,10565.98,7007.85,7007.80,6726.60,2578.10,2343.70,2367.20,5835.95,5601.55,5437.50,10110.89,8631.17,8831.98,86.75,96.50,93.10
YZ,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC278133,"Grahamstown, Western District, Eastern Cape, South Africa",Call,7,1,0,,,,Y,,,4116.83,6050.85,8407.43,10974.97,0.26,0.00,4290.56,1970.75,6602.69,9689.35,6562.50,4031.20,8633.40,0.22,8633.40,4602.20,7.00,2.45,0.27,8441.70,0.28,8297.80,0.28,16583.16,1462309.21,19368.30,0.10,0.00,19368.30,16281.13,15514.91,0.12,3.36,3.21,2.95,0.96,0.92,2.86,0.98,0.98,1.18,1.04,0.84,0.95,4613.83,7299.11,4406.20,7828.10,117314.54,56947.72,2685.26,24303.40,3421.90,10340.86,108661.38,10723.99,7593.75,7171.90,7187.50,2578.10,2671.90,2765.60,6703.15,6562.50,6562.50,10695.85,10082.64,10276.35,87.35,95.75,95.83
YZ,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC479389,"Klerksdorp, Southern DC, North West, South Africa",Call,8,1,0,,,,Y,,,4223.94,69824.75,8447.83,4058.75,0.26,0.00,4223.93,50174.65,5684.79,79746.91,5684.80,4079.90,8564.60,0.18,8564.60,4484.70,8.00,2.79,0.27,8377.80,0.28,8377.80,0.28,16338.91,1872899.22,19912.02,0.10,0.00,19912.02,15804.48,15628.73,0.12,3.34,2.90,3.07,0.87,1.06,2.87,0.98,1.00,1.46,1.03,0.79,0.99,4640.40,6944.46,4435.80,7019.80,113949.74,3128.52,2304.05,102944.41,2584.00,8808.93,281229.46,9341.54,6933.70,6976.77,6912.15,2024.10,2483.50,2454.80,5957.53,5541.23,5491.00,8363.25,9176.20,8926.55,107.70,106.90,106.80
YZ,Passeriformes,Remizidae,Anthoscopus minutus,Cape Penduline Tit,minutus,,Hardap,Viljoenskroon,Namibia,,XC,XC336395,"Groblershoop, Benede Oranje, Northern Cape, South Africa",Call,7,1,0,,,,Y,,,4267.71,26283.92,7838.06,2345.38,0.27,0.00,3570.30,28026.40,6047.74,768164.43,6696.80,4170.70,7953.50,0.20,7824.20,3782.80,7.00,2.45,0.27,7824.20,0.30,7824.20,0.30,13290.82,1109962.46,15608.37,0.09,0.00,15608.37,13097.81,12097.35,0.11,3.45,3.12,2.85,0.90,0.91,2.85,1.00,1.00,1.35,1.10,0.84,0.92,4998.77,7075.21,4349.70,7558.20,267675.12,162264.04,2076.46,17601.17,3208.50,7723.20,381950.23,9122.66,7482.80,7353.60,6617.90,1948.80,2024.15,2196.43,6772.20,6696.80,5132.07,8363.75,7457.53,7473.28,92.55,96.15,95.77
CW,Caprimulgiformes,Caprimulgidae A,Antrostomus carolinensis,Chuck-will's-widow,monotypic,East Jetty Woods,Louisiana,Cameron Parish,United States,,XC,XC169164,"western Apalachicola National Forest, Florida",Song,3,3,0,,,,Y,JT,Resampled as note count did not match,1224.10,244.45,2531.77,1360.84,0.17,0.01,1307.67,1708.06,1796.87,3417.45,1781.20,1203.20,2581.90,0.03,2494.20,1378.70,3.00,0.89,0.26,2519.20,0.23,2581.90,0.26,18629.36,341624553.45,44764.29,0.19,0.00,44764.29,5160.78,5963.00,0.24,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.36,1.01,1.02,9.11,0.89,0.12,1.16,1468.73,2312.50,1406.20,2390.60,3421.62,3416.41,843.77,13188.28,984.40,10918.77,100881673.70,25110.71,2250.00,2296.90,2390.60,703.10,843.80,984.40,1875.00,1781.20,1734.40,25110.71,3309.02,4336.56,92.90,104.50,100.50
