"","traits.scientific","scale.traits_log.log.traits.No_of_Note_Types...center...TRUE..","scale.traits_log.log.traits.Song.Bandwidth...center...TRUE..scale...TRUE.","scale.traits_log.log.traits.Note.Count...center...TRUE..scale...TRUE.","scale.traits_log.log.as.numeric.traits.Rate_Pace....center...TRUE.."
"36","Catharus fuscescens",-0.0718241335574806,-0.107156034714424,-0.708065730950788,-0.617505694467161
"37","Oriolus oriolus",0.25697837113436,-0.705261707516272,-0.583084404272905,0.268010777785048
"38","Anthoscopus minutus",-1.50365336892113,0.615491370555634,-0.410928435090856,-0.613566794537256
"39","Dicrurus megarhynchus",-0.248008659743581,-0.213907330106393,-0.498921788327184,-0.436906329962023
"40","Hypocryptadius cinnamomeus",0.0807938449482592,0.17352745651303,-0.498921788327184,-0.339692204278072
"41","Certhia brachydactyla",0.575530250443278,0.051992031803285,-0.446624733201107,-0.00337671727580586
"42","Aleadryas rufinucha",-1.50365336892113,-0.426594709787269,-0.93227813735633,0.01831083536731
"43","Furnarius figulus",-1.04023226667827,-0.176957498359873,-0.472419859249843,-0.107998842378952
"44","Aegithalos caudatus",-1.50365336892113,-0.553949592613532,-0.742008157498713,1.7830057458428
"45","Geospiza fortis",-0.711429761986434,0.572128299691066,-0.421499686778483,-0.133997157648039
"46","Lanius ludovicianus",0.172277622651463,0.457647523513342,-0.327057910314985,1.06879572136515
"47","Erpornis zantholeuca",0.0807938449482592,-0.0187011581722386,-0.373126612294087,0.504214321959617
"48","Peucedramus taeniatus",-0.711429761986434,-0.0702093622485514,-0.283083978838658,0.161713895117676
"49","Rhagologus leucostigma",0.773568923696784,0.23723271276419,-0.0715546838307989,-0.540590220631057
"50","Sclerurus mexicanus",-0.60249622443503,-0.28002841804493,-0.220658455233239,-0.437022995250863
"51","Rhegmatorhina hoffmannsi",-0.248008659743581,-0.0142816581720697,-0.181172976830156,-0.755603321159342
"52","Chaetops frenatus",-0.864047740492174,-0.116280935268209,0.151167566831533,-0.498774371013179
"53","Pachyramphus minor",0.293497038967174,0.692355770268574,-0.177662047742695,-0.571713344480722
"54","Bombycilla garrulus",-1.50365336892113,0.054274668644262,0.408628809979498,1.59111029436201
"55","Dryoscopus gambensis",0.33583288145354,0.720505890233042,-0.106731647753215,-0.19371525861664
"56","Sylvietta virens",0.896583999563313,-0.115728984620012,-0.0715546838307989,0.221688795703868
"57","Dasyornis broadbenti",0.444766419004943,0.965595647458832,-0.0544345926271382,-0.302894575154292
"58","Parus major",-0.535245235800333,-0.0426125448962423,-0.00482064574471257,-0.0467675411026468
"59","Rhabdornis inornatus",0.33583288145354,0.605752686506767,0.0873690693950098,-0.0906529781464934
"60","Catharus ustulatus",0.773568923696784,1.43822046477804,-0.0376122572828734,-0.0378836918008555
"61","Donacobius atricapilla",-1.50365336892113,-0.291974557579851,0.0423721236492247,-0.722514189381276
"62","Hemignathus munroi",1.09911982713717,0.34144730135374,0.151167566831533,0.319453560085656
"63","Loxia leucoptera",0.606010378598727,0.448464236616537,1.32799202923819,2.28451879382726
"64","Turdus merula",0.896583999563313,0.565985395091257,0.0423721236492247,-0.249390369560535
"65","Modulatrix orostruthus",0.848954730081927,-0.773982005753116,0.0873690693950098,0.36629998339913
"66","Erythrocercus mccallii",-1.50365336892113,0.948740502670887,0.0873690693950098,0.650342923436493
"67","Irena cyanogastra",0.544214947191112,0.0432199067571608,0.0515405325940593,-0.382064080395956
"68","Campylorhamphus procurvoides",0.444766419004943,-0.805242146766182,0.101914605175021,0.106166449620327
"69","Molothrus ater",0.82437449092137,1.65429693963784,0.697349108720695,-1.98112464136591
"70","Chloropsis cyanopogon",0.297085541346789,0.183099218975681,0.116244643593862,-0.163620171725865
"71","Piprites chloris",-0.313337129726493,-1.80600309562672,0.144283125657727,-0.10103477413577
"72","Zonotrichia albicollis",0.297085541346789,-0.804776945619821,0.144283125657727,-0.429425253686386
"73","Sitta europaea",-1.50365336892113,-0.244988549999863,0.158003354304385,0.0535032797383743
"74","Mionectes macconnelli",0.33583288145354,-0.0132233805775174,0.151167566831533,-0.0891172279896285
"75","Hypocnemis ochrogyna",-1.50365336892113,-0.479971382657975,0.184873412749294,-0.34345354792478
"76","Grallaria varia",-0.711429761986434,-3.30483678195206,0.211017163743813,-0.0652454688283674
"77","Paradisaea raggiana",-1.24861433241585,-1.47727459924135,0.191475895051665,-0.952611664663716
"78","Lepidothrix coronata",-0.248008659743581,0.528488414033245,0.223828740466807,1.39503926744984
"79","Cettia cetti",0.127450815715968,1.64120124242553,0.309051367369691,-0.0933990993646142
"80","Mystacornis crossleyi",-0.711429761986434,-1.00277336069487,-1.41246163116663,-1.87908700195796
"81","Dendroica kirtlandii",0.635698724894315,0.412210276807593,0.32063545674317,0.75079447199746
"82","Neodrepanis coruscans",-1.50365336892113,-0.279581326414909,0.211017163743813,0.00596550689176888
"83","Chloropsis hardwickii",0.617978415377672,0.53943581827509,0.334355685389828,0.0527525996748623
"84","Calcarius ornatus",1.48508109534006,0.668040550024485,0.376562009192083,0.560690399935247
"85","Falcunculus frontatus",-1.11908677699745,-1.24831484179204,0.0873690693950098,-1.48019768553099
"86","Grantiella picta",-0.313337129726493,-0.260751395047262,0.158003354304385,-0.803799886551002
"87","Sakesphorus luctuosus",-0.186213228335966,-1.26122306567015,0.398057558291871,-0.37145572329827
"88","Cardinalis cardinalis",-0.248008659743581,0.340792813883114,0.479559209968978,-0.00174795352138202
"89","Emberiza fucata",1.53951695805402,1.10064632280088,0.439666549955333,0.755977675337108
"90","Daphoenositta chrysoptera",-0.382627257294593,0.478017817856278,0.223828740466807,-0.619021948792906
"91","Ploceus nigricollis",0.4788864772082,1.09117951690408,0.223828740466807,0.56374016063815
"92","Tachuris rubrigastra",-0.0718241335574806,-0.309263594881238,0.387369494829256,0.192022127627143
"93","Eremophila alpestris",1.44248223661298,0.628245423974142,0.479559209968978,0.594713313950136
"94","Regulus satrapa",0.544214947191112,0.648781551414859,0.508434784167831,0.106577249396708
"95","Vidua macroura",1.23699002593964,0.973857147448221,0.354577883291096,-0.0946254010139831
"96","Pheucticus melanocephalus",1.48508109534006,0.0837929767151783,0.527217119983376,-0.479419551097981
"97","Illadopsis cleaveri",-0.0953906812378418,-0.412136360537986,-1.04021570030359,-0.769518193706878
"98","Myiagra hebetior",-0.711429761986434,-0.849635910908779,0.130365476885553,0.211955669304032
"99","Pomatostomus ruficeps",0.4788864772082,0.0471652820526248,0.0873690693950098,0.0485085588731196
"100","Thryothorus ludovicianus",-0.018654683237909,0.476261126551705,0.649375976314194,0.737910449869287
"101","Passerina amoena",1.12805648838823,1.09636645649856,0.607496712241315,0.672243038303575
"102","Dendroica coronata",0.25697837113436,0.111836473637026,0.6411439274634,0.719252546649955
"103","Certhia familiaris",1.21954026609144,0.868466707436783,0.649375976314194,0.244042017095972
"104","Promerops cafer",0.873017451882952,0.42657158937211,0.655911541054422,0.0829952634813212
"105","Coracina coerulescens",0.773568923696784,0.851260131692625,0.665632827923201,-0.203599264949901
"106","Urocynchramus pylzowi",1.66524105881765,0.463967362061637,0.6411439274634,0.594481034629575
"107","Prunella fulvescens",0.82437449092137,0.733909531939389,0.673659927117204,0.967634453218837
"108","Pycnonotus atriceps",0.373309585443873,-0.0670778141649197,0.563721825914699,0.472146010913049
"109","Zosterops lateralis",1.00763604943396,0.437590249430361,0.68162095890217,1.1123228960891
"110","Mohoua ochrocephala",-0.104955063988921,-0.448029197700305,0.17153168534073,0.0258819961825664
"111","Buphagus erythrorhynchus",-0.711429761986434,-0.0233990761571084,0.705118306326284,1.35916517424768
"112","Atrichornis clamosus",1.04920197806905,1.07887551000993,0.649375976314194,-0.302908202006785
"113","Oxylabes madagascariensis",0.544214947191112,0.194340700720289,0.800818950553468,-0.235438355127165
"114","Phylloscopus trochilus",1.27111008414289,0.891229335734965,0.728058351528621,0.242869987050905
"115","Melanocharis versteri",-1.50365336892113,1.09068958794738,-1.56156540256907,1.29527249284759
"116","Smithornis capensis",-1.50365336892113,-2.36120280865547,0.757822543062924,1.60481647588265
"117","Paradoxornis webbianus",0.189727382499663,0.286544769222983,0.731076325588879,-0.572780453975277
"118","Tyrannus savana",-0.11339006219257,0.552532545838756,0.701241507943661,0.793785110191249
"119","Vidua chalybeata",1.30424101457433,1.08501313174765,0.772368078842934,0.989705384744493
"120","Agelaius phoeniceus",0.51201740763964,0.174125938386701,0.848679025873567,1.29570081139127
"121","Climacteris rufus",0.720399473377212,-0.624276277306152,0.855326886417208,-0.206453649127578
"122","Hemignathus virens",-0.34745718792975,0.400760609967251,0.494104745748989,0.705972659380059
"123","Pteruthius melanotis",-0.61994598428323,-0.0499792972145559,0.861929368719579,0.515527472384348
"124","Artamus cinereus",-0.104955063988921,0.719237502294816,0.552914340277526,0.278323934744405
"125","Callaeas cinereus",1.12805648838823,-0.0583913241876347,0.919407260557346,-1.27557583348896
"126","Struthidea cinerea",0.33583288145354,0.570604705471986,0.434562264223194,-0.959146101244364
"127","Sylvia atricapilla",1.81039371314026,1.16101470750513,0.931729209377397,0.260417118210191
"128","Polioptila caerulea",0.831451523247863,1.1568282554772,0.770303489154906,0.269396472147688
"129","Spelaeornis formosus",0.33583288145354,-1.40351077117449,1.32799202923819,0.719133921501335
"130","Phylloscopus sibilatrix",0.032150883986677,1.0640360952904,1.05782296849717,0.684905444962185
"131","Hippolais icterina",1.48508109534006,1.0550570473511,1.06318176282218,0.44237521588832
"132","Xiphorhynchus elegans",-0.382627257294593,-0.367584343733826,1.04156611688816,1.15313455415466
"133","Spizella passerina",-1.50365336892113,1.10941616222168,1.11519751508118,1.93899576201203
"134","Sylvia borin",2.06333369107759,0.994902713244602,1.2386430206971,1.8330419042028
"135","Phainopepla nitens",1.23699002593964,0.512475062732157,1.9569258283766,1.09709073867114
"136","Calandrella cheleensis",1.88153275521618,0.717258146572253,1.31982944998211,1.41079517029938
"137","Loxia curvirostra",0.391596968685372,0.0612697435947513,0.811275916200718,0.655110800792033
"138","Junco hyemalis",-0.382627257294593,0.259123054637329,1.35207443257008,3.16119913864865
"139","Hirundo rustica",1.41317455212574,0.945174614307946,1.35997047561571,2.24548426973879
"140","Machaerirhynchus nigripectus",-0.127588220789313,0.699348768966768,0.130365476885553,0.181756410377867
"141","Orthonyx spaldingii",0.297085541346789,-0.191756596807264,1.39472606732427,0.979237539664712
"142","Serinus canaria",1.71189802958535,0.847785212246782,1.4782562805658,1.55477314782936
"143","Cinclus mexicanus",1.16553319237857,0.615072014170572,1.35997047561571,0.600139085445487
"144","Acrocephalus arundinaceus",1.55273025052433,0.590532884492404,1.85170956598259,1.07729183377241
"145","Prunella himalayana",1.62895429462142,0.968425262943444,1.87738021356753,1.40159869231941
"146","Ptilorrhoa leucosticta",-1.50365336892113,-2.50074142235257,1.55468377030284,1.08862456399693
"147","Ptilonorhynchus violaceus",1.51262308031191,1.05243430882736,2.62419228136352,0.00742972678028595
"148","Calyptomena viridis",-0.313337129726493,-1.46791539852792,-0.00482064574471257,0.4092605570884
"149","Erythropygia coryphaeus",1.04920197806905,1.10083938998879,0.581470211977481,-0.254228564670302
"150","Chaetorhynchus papuensis",0.799253983696392,0.158438152436219,0.449795018434675,0.0638521735521757
"151","Corvus brachyrhynchos",-1.50365336892113,-1.17440868489557,-0.675274119412627,-0.786643872531737
"152","Erithacus rubecula",1.48508109534006,0.956642251960614,0.508434784167831,0.319609844990338
"153","Ficedula albicollis",0.720399473377212,0.933381163116418,-0.200714245522304,-0.436828177926498
"154","Gymnorhina tibicen",1.3364385541258,-0.78412029883022,0.459818526803058,0.0775266399256256
"155","Nectarinia aspasia",0.373309585443873,0.546772621620196,0.0268956350527798,0.375670565189242
"156","Manacus manacus",-0.711429761986434,1.28453019144695,0.616018881040776,0.724120975665211
"157","Menura novaehollandiae",1.10884700984137,0.425927372357221,0.536473266231696,-0.266588718561207
"158","Motacilla alba",0.919674422650661,0.909082759568148,0.697349108720695,0.603690791342751
"159","Oenanthe oenanthe",1.36775385737797,0.71793042903588,0.735585703926898,0.289240000106581
"160","Origma solitaria",-1.24861433241585,0.265882014192942,-0.724888066295053,-1.24550258745403
"161","Pitta sordida",-1.50365336892113,-1.19189827029315,-1.1693752619951,-0.555746306189799
"162","Pseudopodoces humilis",-0.018654683237909,0.23442153665279,0.0873690693950098,-0.486871796863393
"163","Quiscalus mexicanus",-0.186213228335966,0.463792225570759,-0.200714245522304,-0.317937982385971
"164","Rhipidura dahli",0.720399473377212,-1.03001604059489,-0.00482064574471257,-0.125613458844488
"165","Sapayoa aenigma",-1.32746884273503,-0.688695324810117,0.765122652443216,1.28182071550097
"166","Saxicola torquatus",1.47105715167682,0.85280588858633,0.408628809979498,0.769698260144409
"167","Sporophila hypoxantha",-0.919811827724006,0.183729523869969,-0.241022573742436,-0.680399680642224
"168","Stachyris dennistouni",-1.50365336892113,-1.46499959186859,-1.1693752619951,-0.570174906878327
"169","Sturnus vulgaris",0.373309585443873,1.59485873205634,0.985314227279138,-0.41508165662953
"170","Toxostoma redivivum",1.08930914828148,0.296684791326189,0.572636726824638,-0.259641979061189
"171","Zosterops hypoxanthus",0.33583288145354,-0.246480597973748,-0.00482064574471257,0.553858836775457
